stationid,agencyid,highwayid,highwayname,milepost,description,upstreamstation,downstreamstation,oppositestation,lon,lat
1561,205es03290:_MS,55,WA I-205            ,32.9,Padden,1642,1547,1545,-122.591443,45.681744
1613,205es03222:_MN,54,WA I-205            ,32.22,77th NB,1639,1545,1547,-122.583144,45.673764
1545,205es03290:_MN,54,WA I-205            ,32.9,Padden,1613,1641,1561,-122.590753,45.681863
1609,205es02726:_MS,55,WA I-205            ,27.26,SR14,1533,,1608,-122.552067,45.606463
1608,205es02726:_MN,54,WA I-205            ,27.26,SR14,,1610,1609,-122.551792,45.60645
1533,205es02780:_MS,55,WA I-205            ,27.8,10th,1543,1609,1610,-122.554348,45.614173
1543,205es02936:_MS,55,WA I-205            ,29.36,18th,1640,1533,1611,-122.561199,45.63582
1547,205es03223:_MS,55,WA I-205            ,32.23,77th SB,1561,1640,1613,-122.583629,45.673827
1537,205es03562:_MS,55,WA I-205            ,35.62,119th,,1536,1614,-122.632088,45.707164
1640,205es03153:_MS,55,WA I-205            ,31.53,NE 58th,1547,1543,1639,-122.577949,45.664581
1639,205es03153:_MN,54,WA I-205            ,31.53,NE 58th,1611,1613,1640,-122.577586,45.664769
1642,205es03345:_MS,55,WA I-205            ,33.45,Andresen,1536,1561,1641,-122.600071,45.686372
1641,205es03345:_MN,54,WA I-205            ,33.45,Andresen,1545,1535,1642,-122.599763,45.686598
1504,005es00088:_MN,501,WA I-5              ,0.88,Evergreen Blvd,,1580,1503,-122.666339,45.629063
1503,005es00088:_MS,502,WA I-5              ,0.88,Evergreen Blvd,1581,,1504,-122.666588,45.629091
1508,005es00255:_MN,501,WA I-5              ,2.55,Kiggins,1627,1510,1507,-122.662607,45.652644
1507,005es00255:_MS,502,WA I-5              ,2.55,Kiggins,1509,1628,1508,-122.662796,45.652577
1510,005es00310:_MN,501,WA I-5              ,3.1,Main St,1508,1552,1509,-122.665777,45.660443
1509,005es00310:_MS,502,WA I-5              ,3.1,Main St,1553,1507,1510,-122.665856,45.660128
1512,005es00529:_MN,501,WA I-5              ,5.29,99th (will be replaced on BSTT),1556,1514,1511,-122.662149,45.691174
1511,005es00529:_MS,502,WA I-5              ,5.29,99th (will be replaced on BSTT),1513,1557,1512,-122.662359,45.691187
1514,005es00631:_MN,501,WA I-5              ,6.31,Salmon Cr.,1512,1623,1513,-122.654888,45.70507
1513,005es00631:_MS,502,WA I-5              ,6.31,Salmon Cr.,1624,1511,1514,-122.655078,45.705051
1553,005es00378:_MS,502,WA I-5              ,3.78,63rd,1555,1509,1552,-122.665522,45.669818
1552,005es00378:_MN,501,WA I-5              ,3.78,63rd,1510,1554,1553,-122.66533,45.669774
1555,005es00425:_MS,502,WA I-5              ,4.25,78th (will be replaced on BSTT),1557,1553,1554,-122.664645,45.676442
1554,005es00425:_MN,501,WA I-5              ,4.25,78th (will be replaced on BSTT),1552,1556,1555,-122.664438,45.676431
1557,005es00494:_MS,502,WA I-5              ,4.94,86th,1511,1555,1556,-122.664433,45.686353
1556,005es00494:_MN,501,WA I-5              ,4.94,86th,1554,1512,1557,-122.664245,45.686329
1588,005es01175:_MS,502,WA I-5              ,11.75,(SB) SR502,1626,1624,1570,-122.673905,45.781786
1581,005es00141:_MS,502,WA I-5              ,1.41,4th Plain,1628,1503,1580,-122.662374,45.636287
1580,005es00141:_MN,501,WA I-5              ,1.41,4th Plain,1504,1627,1581,-122.662114,45.63634
1570,005es01167:_MN,501,WA I-5              ,11.67,(NB) SR502,1623,1625,1588,-122.672017,45.781266
1594,005es07326:_MS,502,WA I-5              ,73.26,mp 73.3 (access gate),1596,1626,1593,-122.912542,46.61069
1593,005es07326:_MN,501,WA I-5              ,73.26,mp 73.3 (access gate),1625,1595,1594,-122.912376,46.610835
1596,005es07475:_MS,502,WA I-5              ,74.75,Labree Rd Chehalis,1990,1594,1595,-122.933697,46.62683
1595,005es07475:_MN,501,WA I-5              ,74.75,Labree Rd Chehalis,1593,1989,1596,-122.933496,46.626946
1624,005es01081:_MS,502,WA I-5              ,10.81,199th,1588,1513,1623,-122.6686,45.768977
1623,005es01080:_MN,501,WA I-5              ,10.8,199th,1514,1570,1624,-122.668213,45.768967
1626,005es01249:_MS,502,WA I-5              ,12.49,Carty Rd.,1594,1588,1625,-122.676058,45.792631
1625,005es01248:_MN,501,WA I-5              ,12.48,Carty Rd.,1570,,1626,-122.675557,45.792699
1628,005es00210:_MS,502,WA I-5              ,2.1,35th St,1507,1581,1627,-122.66189,45.646012
1627,005es00210:_MN,501,WA I-5              ,2.1,35th St,1580,1508,1628,-122.661664,45.646095
1990,005es07654:_MS,502,WA I-5              ,76.54,13th Chehalis,,1596,1989,-122.958938,46.645828
1989,005es07654:_MN,501,WA I-5              ,76.54,13th Chehalis,1595,,1990,-122.958851,46.645911
